year,country,doc_number
1929,BE,356821
1929,ES,110538
1929,ES,110540
1929,ES,110541
1929,ES,110454
1929,ES,110537
1929,ES,110533
1929,ES,109827
1929,ES,110530
1929,ES,110502
1929,ES,110417
1929,ES,110449
1929,ES,107004
1929,ES,102096
1929,ES,110401
1929,ES,110424
1929,ES,110402
1929,ES,110363
1929,ES,110389
1929,ES,110396
1929,ES,110377
1929,ES,110374
1929,ES,110357
1929,ES,110546
1929,ES,110490
1929,ES,110425
1929,ES,110498
1929,ES,110403
1929,ES,108717
1929,ES,108279
1929,ES,110356
1929,ES,110324
1929,ES,108053
1929,ES,106150
1929,ES,109637
1929,ES,109571
1929,ES,110380
1929,ES,110407
1929,ES,107635
1929,ES,110558
1929,ES,109383
1929,ES,110397
1929,ES,110550
1929,ES,110553
1929,ES,108719
1929,ES,110517
1929,ES,110525
1929,ES,110473
1929,ES,110435
1929,ES,110410
1929,ES,110519
1929,ES,110453
1929,ES,110452
1929,ES,110491
1929,ES,110477
1929,ES,110521
1929,ES,110441
1929,ES,110507
1929,ES,110496
1929,ES,110442
1929,ES,110429
1929,ES,110440
1929,ES,110438
1929,ES,110434
1929,ES,110405
1929,ES,110455
1929,ES,110456
1929,ES,110439
1929,ES,110437
1929,ES,110478
1929,ES,110413
1929,ES,110472
1929,ES,110501
1929,ES,110937
1929,ES,110933
1929,ES,110946
1929,ES,110922
1929,ES,110928
1929,ES,110905
1929,ES,110878
1929,ES,110772
1929,ES,110877
1929,ES,110747
1929,ES,110715
1929,ES,110695
1929,ES,110657
1929,ES,110582
1929,ES,110580
1929,ES,110734
1929,ES,110719
1929,ES,110722
1929,ES,110705
1929,ES,110866
1929,ES,110706
1929,ES,110704
1929,ES,110702
1929,ES,110572
1929,ES,110566
1929,ES,110936
1929,ES,110106
1929,ES,110573
1929,ES,110568
1929,ES,110561
1929,ES,110626
1929,ES,110863
1929,ES,110948
1929,ES,110829
1929,ES,110864
1929,ES,110862
1929,ES,110627
1929,ES,110616
1929,ES,110646
1929,ES,110947
1929,ES,110800
1929,ES,110811
1929,ES,110597
1929,ES,110615
1929,ES,110598
1929,ES,110855
1929,ES,110585
1929,ES,110809
1929,ES,105854
1929,ES,108793
1929,ES,108237
1929,ES,110028
1929,ES,109660
1929,ES,110330
1929,ES,110195
1929,ES,110004
1929,ES,106973
1929,ES,106335
1929,ES,110873
1929,ES,110803
1929,ES,110115
1929,ES,109275
1929,ES,110085
1929,ES,108747
1929,ES,109871
1929,ES,110794
1929,ES,110745
1929,ES,109659
1929,ES,109989
1929,ES,110698
1929,ES,110642
1929,ES,110418
1929,ES,110886
1929,BE,358240
1929,BE,358444
1929,ES,111073
1929,ES,111055
1929,ES,111029
1929,ES,111120
1929,ES,111153
1929,ES,111123
1929,ES,111147
1929,ES,111058
1929,ES,111159
1929,ES,111155
1929,ES,111072
1929,ES,111077
1929,ES,110953
1929,ES,110952
1929,ES,111111
1929,ES,111107
1929,ES,110981
1929,ES,111095
1929,ES,110969
1929,ES,110536
1929,ES,111198
1929,ES,109876
1929,ES,111004
1929,ES,111183
1929,ES,110961
1929,ES,110355
1929,ES,110971
