year,country,doc_number
1984,IT,8203486
1984,IT,8209467
1984,IT,8204834
1984,IT,8209460
1984,IT,8209463
1984,IT,8209455
1984,IT,8205199
1984,IT,8203503
1984,IT,8200624
1984,IT,8209475
1984,IT,8209476
1984,IT,8203494
1984,IT,8203493
1984,IT,8209003
1984,IT,8203484
1984,IT,8209464
1984,IT,8209465
1984,IT,8203475
1984,IT,8209456
1984,IT,8209454
1984,IT,8203485
1984,IT,8203481
1984,IT,8203483
1984,IT,8209469
1984,IT,8203492
1984,IT,8209466
1984,IT,8209473
1984,IT,8203479
1984,IT,8209474
1984,IT,8203478
1984,IT,8203474
1984,IT,8209472
1984,IT,8202922
1984,IT,8203490
1984,IT,8203488
1984,IT,8203482
1984,IT,8209468
1984,IT,8203477
1984,IT,8209461
1984,IT,8209457
1984,IT,8203487
1984,IT,8200621
1984,IT,8202508
1984,IT,8203489
1984,IT,8209002
1984,IT,8200622
1984,IT,8209480
1984,IT,8209481
1984,IT,8203502
1984,IT,8209482
1984,IT,8209484
1984,IT,8209483
1984,IT,8203500
1984,IT,8203497
1984,IT,8203498
1984,IT,8203499
1984,IT,8203496
1984,IT,8205197
1984,IT,8209477
1984,IT,8203501
1984,IT,8203495
1984,IT,8209478
1984,US,D272377
1984,US,D272208
1984,US,D272382
1984,US,D272361
1984,US,D272362
1984,US,D272330
1984,US,D272360
1984,US,D272177
1984,US,D272181
1984,US,D272162
1984,US,D272358
1984,US,D272357
1984,US,D272355
1984,US,D272385
1984,US,D272384
1984,US,D272354
1984,US,D272353
1984,US,D272347
1984,US,D272352
1984,US,D272381
1984,US,D272383
1984,US,D272380
1984,US,D272350
1984,US,D272349
1984,US,D272344
1984,US,D272351
1984,US,D272379
1984,US,D272378
1984,US,D272371
1984,US,D272348
1984,US,D272346
1984,US,D272319
1984,US,D272327
1984,US,D272374
1984,US,D272375
1984,US,D272387
1984,US,D272322
1984,US,D272320
1984,US,D272372
1984,US,D272315
1984,US,D272376
1984,US,D272388
1984,US,D272373
1984,US,D272316
1984,US,D272345
1984,US,D272308
1984,US,D272343
1984,US,D272369
1984,US,D272386
1984,US,D272368
1984,US,D272312
1984,US,D272311
1984,US,D272317
1984,US,D272342
1984,US,D272370
1984,US,D272364
1984,US,D272367
1984,US,D272366
1984,US,D272341
1984,US,D272340
1984,US,D272313
1984,US,D272339
1984,US,D272363
1984,US,D272365
1984,US,D272359
1984,US,D272356
1984,US,D272314
1984,US,D272337
1984,US,D272310
1984,US,D272332
1984,US,D272304
1984,US,D272335
1984,US,D272307
1984,US,D272338
1984,US,D272309
1984,US,D272336
1984,US,D272306
1984,US,D272331
1984,US,D272305
1984,US,D272334
1984,IT,8209450
1984,IT,8203516
1984,IT,8205206
1984,IT,8203515
1984,IT,8203512
1984,IT,8203513
1984,IT,8203514
1984,IT,8205204
1984,IT,8203511
1984,IT,8203510
1984,IT,8209496
1984,IT,8209497
1984,IT,8203509
1984,IT,8203508
1984,IT,8209495
1984,IT,8209494
1984,IT,8209489
1984,IT,8209493
1984,IT,8209491
1984,IT,8203507
1984,IT,8205202
1984,IT,8205201
1984,IT,8203504
1984,IT,8205200
1984,IT,8203505
1984,IT,8209486
1984,KR,840000143
1984,US,D272582
1984,US,D272602
1984,US,D272599
1984,US,D272767
1984,US,D272708
1984,US,D272744
1984,US,D272742
1984,US,D272740
1984,US,D272739
1984,US,D272730
1984,US,D272717
1984,US,D272719
1984,US,D272723
1984,US,D272720
1984,US,D272721
1984,US,D272699
1984,US,D272675
1984,US,D272543
1984,US,D272547
1984,US,D272541
1984,US,D272484
1984,US,D272555
1984,US,D272551
1984,US,D272535
1984,US,D272536
1984,US,D272509
1984,US,D272538
1984,US,D272492
1984,US,D272524
1984,US,D272511
1984,US,D272562
1984,US,D272564
1984,US,D272561
1984,US,D272560
1984,US,D272565
1984,US,D272559
1984,US,D272557
1984,US,D272545
1984,US,D272558
1984,US,D272573
1984,US,D272578
1984,US,D272556
1984,US,D272549
1984,US,D272577
1984,US,D272553
1984,US,D272554
1984,US,D272576
1984,US,D272575
1984,US,D272550
1984,US,D272574
1984,US,D272548
1984,US,D272570
1984,US,D272566
1984,US,D272552
1984,US,D272572
1984,US,D272571
1984,US,D272569
1984,US,D272546
1984,US,D272567
1984,US,D272544
1984,US,D272568
1984,US,D272563
1984,US,D272542
1984,US,D272537
1984,US,D272532
1984,US,D272516
1984,US,D272528
1984,US,D272539
1984,US,D272517
1984,US,D272508
1984,US,D272504
1984,US,D272529
1984,US,D272507
1984,US,D272540
1984,US,D272506
1984,US,D272533
1984,US,D272503
1984,US,D272531
1984,US,D272500
1984,US,D272530
1984,US,D272526
1984,US,D272502
1984,US,D272501
1984,US,D272498
1984,US,D272527
1984,US,D272499
1984,US,D272523
1984,US,D272521
1984,US,D272496
1984,US,D272494
1984,US,D272525
1984,US,D272497
1984,US,D272522
1984,US,D272493
1984,US,D272495
1984,US,D272518
1984,US,D272534
1984,US,D272491
1984,US,D272513
1984,US,D272520
1984,US,D272490
1984,US,D272519
1984,US,D272489
1984,US,D272514
1984,US,D272488
1984,US,D272515
1984,US,D272486
1984,US,D272512
1984,US,D272485
1984,US,D272510
1984,US,D272505
1984,US,D272487
1984,US,D272642
1984,US,D272587
1984,US,D272616
1984,GR,73519
1984,IT,8204839
1984,IT,8209502
1984,IT,8203543
1984,IT,8203549
1984,IT,8203547
1984,IT,8203520
1984,IT,8203544
1984,IT,8200631
1984,IT,8203537
1984,IT,8203542
1984,IT,8203533
1984,IT,8200630
1984,IT,8209515
1984,IT,8203545
1984,IT,8209513
1984,IT,8203536
1984,IT,8203539
1984,IT,8203538
1984,IT,8203540
1984,IT,8203531
1984,IT,8203530
1984,IT,8209512
1984,IT,8205213
1984,IT,8209510
1984,IT,8209511
1984,IT,8200627
1984,IT,8202127
1984,IT,8209509
1984,IT,8205212
1984,IT,8203527
1984,IT,8203529
1984,IT,8203528
1984,IT,8203526
1984,IT,8209508
1984,IT,8203524
1984,IT,8202927
1984,IT,8200626
1984,IT,8203535
1984,IT,8209507
1984,IT,8203522
1984,IT,8209505
1984,IT,8203525
1984,IT,8205217
1984,IT,8205219
1984,IT,8203523
1984,IT,8203550
1984,IT,8209504
1984,IT,8209500
1984,IT,8209503
1984,IT,8203541
1984,IT,8203534
1984,IT,8203546
1984,IT,8209501
1984,KR,840001027
1984,US,D273154
1984,US,D273241
1984,US,D273234
1984,US,D272875
1984,US,D273236
1984,US,D273210
1984,US,D273211
1984,US,D273204
1984,US,D273230
1984,US,D273209
1984,US,D273231
1984,US,D273228
1984,US,D273208
1984,US,D273229
1984,US,D273207
1984,US,D273232
1984,US,D273198
1984,US,D273226
1984,US,D273206
1984,US,D273227
1984,US,D273224
1984,US,D273205
1984,US,D273223
1984,US,D273201
1984,US,D273221
1984,US,D273222
1984,US,D273197
1984,US,D273242
1984,US,D273203
1984,US,D273220
1984,US,D273243
1984,US,D273188
1984,US,D273212
1984,US,D273216
1984,US,D273219
1984,US,D273237
1984,US,D273239
1984,US,D273162
1984,US,D273156
1984,US,D273218
1984,US,D273238
1984,US,D273183
1984,US,D273217
1984,US,D273240
1984,US,D273202
1984,US,D273158
1984,US,D273215
1984,US,D273225
1984,US,D273179
1984,US,D273214
1984,US,D273195
1984,US,D273235
1984,US,D273213
1984,US,D273199
1984,US,D273233
1984,US,D273200
1984,US,D273157
1984,US,D273166
1984,US,D273155
1984,US,D273196
1984,US,D273173
1984,US,D273194
1984,US,D273178
1984,US,D273182
1984,US,D273193
1984,US,D273160
1984,US,D273176
1984,US,D273167
1984,US,D273152
1984,US,D273181
1984,US,D273153
1984,US,D273191
1984,US,D273177
1984,US,D273180
1984,US,D273189
1984,US,D273151
1984,US,D273192
1984,US,D273165
1984,US,D273172
1984,US,D273164
1984,US,D273175
1984,US,D273150
1984,US,D273163
1984,US,D273190
1984,US,D273174
1984,US,D273184
1984,US,D273187
1984,IT,8209523
1984,IT,8201509
1984,IT,8209524
1984,IT,8202929
1984,IT,8203576
1984,IT,8201220
1984,IT,8209522
1984,IT,8202509
1984,IT,8205232
1984,IT,8205227
1984,IT,8200632
1984,IT,8202510
1984,IT,8200634
1984,IT,8209520
1984,IT,8205230
1984,IT,8205237
1984,IT,8204846
1984,IT,8203558
1984,IT,8200633
1984,IT,8209516
1984,IT,8202928
1984,US,D273385
1984,US,D273323
1984,US,D273281
1984,US,D273252
1984,US,D273405
1984,US,D273339
1984,US,D273326
1984,US,D273311
1984,US,D273305
1984,US,D273334
1984,US,D273302
1984,US,D273306
1984,US,D273307
1984,US,D273308
1984,US,D273304
1984,US,D273303
1984,US,D273300
1984,US,D273283
1984,US,D273294
1984,US,D273273
1984,US,D273292
1984,US,D273319
1984,US,D273325
1984,US,D273321
1984,US,D273310
1984,US,D273322
1984,US,D273318
1984,US,D273317
1984,US,D273312
1984,US,D273315
1984,US,D273316
1984,US,D273333
1984,US,D273314
1984,US,D273338
1984,US,D273313
1984,US,D273337
1984,US,D273336
1984,US,D273309
1984,US,D273335
1984,US,D273332
1984,US,D273330
1984,US,D273331
1984,US,D273297
1984,US,D273320
1984,US,D273324
