1895,,Radio,GuglielmoMarconi,
1859,,Refrigerator,FerdinandCarre,
1836,,Revolver,SamuelColt,
1520,,Rifle,AugustKotter,
1926,,RocketEngine,RobertGoddard,
1760,,RollerSkates,JosephMerlin,
1895,,SafetyPin,WalterHunt,
1859,,SafetyRazor,KingGillette,
1846,,SewingMachine(lockstitch),EliasHowe,
1757,,Sextant,JohnCampbell,
1857,,SleepingCar,GeorgePullman,
1796,,SmallpoxVaccination,EdwardJenner,
1807,,Steamboat,RobertFulton,
1698,,SteamEngine,ThomasSavery,
1898,,Submarine,TJohnHolland,
1908,,TeaBag,ThomasSullivan,
1837,,Teflon,SamuelMorse,
1846,,Telegraph,EliasHowe,
1895,,Telegraph,GuglielmoMarconi,
1876,,Telephone,AlexanderGrahamBell,
1609,,Telescope,GalileoGalilei,
1925,,Television,JohnLogieBaird,
1852,,Umbrella(steelribbed),SamuelFox,
1901,,VacuumCleaner,H.CecilBooth,
1839,,VulcanisedRubber,CharlesGoodyear,
1858,,WashingMachine(rotary),HamiltonSmith,
1937,,Xerography,ChesterFloydCarlson,
1886,,YellowPages,ReubenH.Donnelly,
1893,,ZipFastener,WhitcombJudson,
1623,,Automatic Calculator,Wilhelm Schickard,
1902,,Air Conditioner,Willis Carrier,
1450,,Anemometer,Leon Battista Alberti,
—,,Animation,J. Stuart Blackton,
1945,,Atom Bomb,Julius Robert Oppenheimer,
1899,,Aspirin,Dr. Felix Hoffman,
1903,,Airplane,Wilber and Orville Wright,
1923,,Adhesive tape,Richard G. Drew,
1779,,Bifocal Lens,Benjamin Franklin,
1643,,Barometer,Evangelista Torricelli,
1873,,Barbed Wire,Joseph F. Glidden,
1900s,,Blood Group,Karl Lansdsteiner,
—,,Ball Point Pen,John Loud,
1888,,Bicycle Tyres,John Boyd Dunlop,
1839,,Pedal Driven Bicycle,Kirkpatrick Macmillan,
1861,,Celluloid,Alexander Parkes,
—,,Chloroform,Sir James Young Simpson,
1889,,Cine Camera,Wm. Friese-Greene,
1628,,Circulation of blood,William Harvey,
1725,,Clock Mechanical,Hsing and Ling-Tsan,
1892,,Diesel Engine,Rudolf Diesel,
1742,,Centigrade Scale,Anders Celsius,
1774,,Chlorine,Carl Wilhelm Scheele,
1867,,Dynamite,Alfred B. Nobel,
1895,,Diesel Engine,Rudolf Diesel,
1896,,Electric stove/cooker,William S. Hadaway,
1600s,,Electroscope,William Gilbert,
1882,,Electric Fan,Schuyler Wheeler,
1800,,Electric Battery,Volta,
1852,,Elevator,Elisha G. Otis,
1873,,Electric Motor (DC),Thomas Davenport,
1824,,Electromagnet,William Sturgeon,
1827,,Fountain Pen,Petrache Poenaru,
1810,,Fluorine,André-Marie Ampère,
1878,,Gramophone,Thomas Edison,
1766,,Hydrogen,Henry Cavendish,
1939,,Helicopter,Igor Sikorsky,
1959,,Hovercraft,Christopher Cockerell,
1783,,Hot Air Balloon,Josef & Etienne Montgolfier,
1868,,Helium,Jules Janssen,
1923,,Insulin,Sir Frederick Banting,
1936,,Jet Engine,Hans Von Ohain,
1752,,Lightning Conductor,Benjamin Franklin,
1804,,Locomotive,George Stephenson,
1960,,Laser,Theodore Maiman,
1854,,Light Bulb,Thomas Edison,
1885,,Motorcycle,Gottlieb Daimler,
1590,,Microscope,Zacharis Janssen,
1876,,Microphone,Alexander Graham Bell,
1861,,Machine Gun,Richard Gatling,
1915,,Neon Lamp,Georges Claude,
1774,,Oxygen,Joseph Priestley,
1839,,Ozone,Christian Schonbein,
1700,,Piano,Bartolomeo Cristofori,
1440,,Printing Press,Johannes Gutenberg,
1783,,Parachute,Louis-Sebastien Lenormand,
—,,Polio Vaccine,Jonas Edward Salk,
1869,,Periodic Table,Dmitri Mendeleev,
1928,,Penicillin,Alexander Fleming,
1952,,Pacemaker,Rune Elmqvist,
1885,,Petrol for Motor Car,Karl Benz,
1748,,Refrigerator,William Cullen,
1898,,Radium,Marie & Pierre Curie,
1841,,Rubber (vulcanized),Charles Goodyear,
1926,,Rocket Engine,Robert H. Goddard,
1894,,Radio,Guglielmo Marconi,
1935,,Richter Scale,Charles Richter,
1894,,Ship (Turbine),Charles Parsons,
1807,,Steam Ship,Robert Fulton,
1786,,Steam Boat,Robert Fulton,
1620,,Submarine,Cornelis Drebbel,
1623,,Automatic Calculator,Wilhelm Schickard,
1902,,Air Conditioner,Willis Carrier,
1450,,Anemometer,Leon Battista Alberti,
—,,Animation,J. Stuart Blackton,
1945,,Atom Bomb,Julius Robert Oppenheimer,
1899,,Aspirin,Dr. Felix Hoffman,
1903,,Airplane,Wilber and Orville Wright,
1923,,Adhesive tape,Richard G. Drew,
1779,,Bifocal Lens,Benjamin Franklin,
1643,,Barometer,Evangelista Torricelli,
1873,,Barbed Wire,Joseph F. Glidden,
1900s,,Blood Group,Karl Lansdsteiner,
—,,Ball Point Pen,John Loud,
1888,,Bicycle Tyres,John Boyd Dunlop,
1839,,Pedal Driven Bicycle,Kirkpatrick Macmillan,
1861,,Celluloid,Alexander Parkes,
—,,Chloroform,Sir James Young Simpson,
1889,,Cine Camera,Wm. Friese-Greene,
1628,,Circulation of blood,William Harvey,
1725,,Clock Mechanical,Hsing and Ling-Tsan,
1892,,Diesel Engine,Rudolf Diesel,
1742,,Centigrade Scale,Anders Celsius,
1774,,Chlorine,Carl Wilhelm Scheele,
1867,,Dynamite,Alfred B. Nobel,
1895,,Diesel Engine,Rudolf Diesel,
1896,,Electric stove/cooker,William S. Hadaway,
1600s,,Electroscope,William Gilbert,
1882,,Electric Fan,Schuyler Wheeler,
1800,,Electric Battery,Volta,
1852,,Elevator,Elisha G. Otis,
1873,,Electric Motor (DC),Thomas Davenport,
1824,,Electromagnet,William Sturgeon,
1827,,Fountain Pen,Petrache Poenaru,
1810,,Fluorine,André-Marie Ampère,
1878,,Gramophone,Thomas Edison,
1766,,Hydrogen,Henry Cavendish,
1939,,Helicopter,Igor Sikorsky,
1959,,Hovercraft,Christopher Cockerell,
1783,,Hot Air Balloon,Josef & Etienne Montgolfier,
1868,,Helium,Jules Janssen,
1923,,Insulin,Sir Frederick Banting,
1936,,Jet Engine,Hans Von Ohain,
1752,,Lightning Conductor,Benjamin Franklin,
1804,,Locomotive,George Stephenson,
1960,,Laser,Theodore Maiman,
1854,,Light Bulb,Thomas Edison,
1885,,Motorcycle,Gottlieb Daimler,
1590,,Microscope,Zacharis Janssen,
1876,,Microphone,Alexander Graham Bell,
1861,,Machine Gun,Richard Gatling,
1915,,Neon Lamp,Georges Claude,
1774,,Oxygen,Joseph Priestley,
1839,,Ozone,Christian Schonbein,
1700,,Piano,Bartolomeo Cristofori,
1440,,Printing Press,Johannes Gutenberg,
1783,,Parachute,Louis-Sebastien Lenormand,
—,,Polio Vaccine,Jonas Edward Salk,
1869,,Periodic Table,Dmitri Mendeleev,
1928,,Penicillin,Alexander Fleming,
1952,,Pacemaker,Rune Elmqvist,
1885,,Petrol for Motor Car,Karl Benz,
1748,,Refrigerator,William Cullen,
1898,,Radium,Marie & Pierre Curie,
1841,,Rubber (vulcanized),Charles Goodyear,
1926,,Rocket Engine,Robert H. Goddard,
1894,,Radio,Guglielmo Marconi,
1935,,Richter Scale,Charles Richter,
1894,,Ship (Turbine),Charles Parsons,
1807,,Steam Ship,Robert Fulton,
1786,,Steam Boat,Robert Fulton,
1620,,Submarine,Cornelis Drebbel,
,,List of Inventions & Discoveries,,
1623,,Automatic Calculator,Wilhelm Schickard,
1914,,Air Conditioner,Willis Carrier,
-,,Amplitude Modulation,Reginald Fessenden,
1450,,Anemometer,Leon Battista Alberti,
1892,,Animation,Emile Reynaud,
1945,,Atom Bomb,Julius Robert Oppenheimer,
1899,,Aspirin,Dr. Felix Hoffman,
1903,,Airplane,Wilber and Orville Wright,
1923,,Adhesive tape,Richard G. Drew,
1784,,Bifocal Lens,Benjamin Franklin,
-,,Barometer,Evangelista Torricelli,
1873,,Barbed Wire,Joseph F. Glidden,
1900,,Blood Group,Karl Lansdsteiner,
1888,,Ball Point Pen,John Loud,
1888,,Bicycle Tyres,John Boyd Dunlop,
1839,,Bicycle,Kirkpatrick Macmillan,
1861,,Celluloid,Alexander Parkes,
1831,,Chloroform,E. Soberran,
1889,,Cine Camera,Wm. Friese-Greene,
1628,,Circulation of blood,William Harvey,
1725,,Clock Mechanical,Hsing and Ling-Tsan,
1892,,Diesel Engine,Rudolf Diesel,
1742,,Centigrade Scale,Anders Celsius,
1774,,Chlorine,Karl Wilhelm Scheele,
1867,,Dynamite,Alfred B. Nobel,
1895,,Diesel Engine,Rudolf Diesel,
1896,,Electric stove/cooker,William S. Hadaway,
1748,,Electroscope,Jean Nollet,
1882,,Electric Fan,Wheeler,
1800,,Electric Battery,Volta,
1852,,Elevator,Elisha G. Otis,
1873,,Electric Motor (DC),Zenobe Gramme,
1824,,Electromagnet,William Sturgeon,
1884,,Fountain Pen,Lewis Edson Waterman,
1886,,Fluorine,Ferdinand Frederick Henri Moissan,
1878,,Gramophone,Thomas Edison,
1766,,Hydrogen,Henry Cavendish,
1939,,Helicopter,Igor Sikorsky,
1959,,Hovercraft,Christopher Cockerell,
1783,,Hot Air Balloon,Josef & Etienne Montgolfier,
1868,,Helium,William Ramsay,
1923,,Insulin,Sir Frederick Banting,
1936,,Jet Engine,Hans Von Ohain,
1752,,Lightning Conductor,Benjamin Franklin,
1804,,Locomotive,Richard Trevithick,
1960,,Laser,Dr. Charles H. Townes,
1854,,Light Bulb,Heinrich Goebel,
1848,,Motorcycle,Edward Butler,
1590,,Microscope,Zacharis Janssen,
1876,,Microphone,Alexander Graham Bell,
1861,,Machine Gun,Richard Gaffing,
1915,,Neon Lamp,Georges Claude,
1775,,Oxygen,Antoine Laurent Lavoisier,
1839,,Ozone,Christian Schonbein,
1700,,Piano,Bartolomeo Cristofori,
1440,,Printing Press,Johannes Gutenberg,
1785,,Parachute,Jean Pierre Blanchard,
-,,Polio Vaccine,Jonas Edward Salk,
1869,,Periodic Table,Dmitri Mendeleev,
1928,,Penicillin,Alexander Fleming,
1952,,Pacemaker,Dr. Paul Zoll,
1885,,Petrol for Motor Card,Karl Benz,
1851,,Refrigerator,James Harrison,
1898,,Radium,Marie & Pierre Curie,
1922,,Radar,Dr. Albert H. Taylor & Leo C. Young,
1841,,Rubber (vulcanized),Charles Goodyear,
1926,,Rocket Engine,Robert H. Goddard,
1894,,Radio,Guglielmo Marconi,
1935,,Richter Scale,Charles Richter,
1894,,Ship (Turbine),Charles Parsons,
1775,,Steam Ship,J.C Perier,
1786,,Steam Boat,John Fitch,
1855,,Safety Match,J.E. Lundstrom,
1776,,Submarine,David Bushnell,
1816,,Stethoscope,Rene Laennec,
1846,,Saxophone,Adolphe Sax,
1846,,Sewing Machine,Elias Howe,
1852,,Steam-Powered Airship,Henri Giffard,
1961,,Soft Contact lenses,Otto Wichterle,
1964,,Synthesizer,Dr. Robert Arthur Moog,
1593,,Thermometer,Galileo,
1858,,Theory of Evolution,Charles Darwin,
1841,,Typewriter,Peter Mitterhofer,
1948,,Transistors,"John Bardeen, William Shockley & Walter
Brattain",
1874,,Telephone,Graham Bell,
1904,,Valve. Radio,Sir J.A Fleming,
1869,,Vacuum Cleaner,Ives McGuffey,
1912,,Vitamin A,Frederick Gowland Hpokins,
1897,,Vitamin B,Christiaan Eijkman,
-,,Vitamin C,Albert Szent-Gyorgi,
1929,,Vitamin K,Henrik Dam,
,,Vitamin E,"Herbert McLean Evans & Katherine Scott
Bishop",
1903,,Windshield wipers,Mary Anderson,
1989,,World Wide Web,Tim Berners Lee with Robert Cailliau,
1895,,X-ray,Wilhelm Conrad Roentgen,
1928,,Xerox Machine,Chester Carlson,
1876,,Telephone,Alexander Graham Bell,
1895,,Radio,Guglielmo Marconi,
1927,,Television,Philo Farnsworth,
1834,,Refrigerator,Jacob Perkins,
1886,,Automobile,Karl Benz,
1903,,Airplane,The Wright brothers (Orville and Wilbur Wright),
1765,,Steam engine,James Watt,
1928,,Penicillin,Alexander Fleming,
1796,,Vaccines,Edward Jenner,
1977,,MRI,Raymond Damadian,
1953,,DNA,James Watson and Francis Crick,
1972,,Genetic engineering,Paul Berg,
1590,,Microscope,Zacharias Janssen and Hans Janssen,
1608,,Telescope,Hans Lippershey,
1973,,Mobile phones,Martin Cooper,
1440,,Printing press,Johannes Gutenberg,
1826,,Photography,Joseph Nicéphore Niépce,
1888,,Film,George Eastman,
1960,,Laser,Theodore H. Maiman,
1947,,Transistor,"William Shockley, John Bardeen and Walter Brattain",
1978,,GPS,"Roger L. Easton, Ivan A. Getting and Bradford Parkinson",
1945,,Atomic bomb,J. Robert Oppenheimer and team,
1942,,Nuclear power,Enrico Fermi and team,
1982,,Artificial heart,Robert Jarvik,
1956,,Artificial intelligence,"John McCarthy, Marvin Minsky, Allen Newell and Herbert A. Simon",
1968,,Virtual reality,Ivan Sutherland,
Early 20th century,,Quantum mechanics,"Max Planck, Albert Einstein, Werner Heisenberg, Erwin Schrödinger and others",
1911,,Superconductivity,Heike Kamerlingh Onnes,
1935,,Radar,Robert Watson,
1945,,Microwave oven,Percy Spencer,
1876,,Telephone,Alexander Graham Bell,
1895,,Radio,Guglielmo Marconi,
1927,,Television,Philo Farnsworth,
1834,,Refrigerator,Jacob Perkins,
1886,,Automobile,Karl Benz,
1953,,The structure of DNA,James Watson and Francis Crick,
1859,,Evolution by natural selection,Charles Darwin,
1824-1865,,The laws of thermodynamics,"Sadi Carnot, James Prescott Joule, Rudolf Clausius",
1905-1915,,The theory of relativity,Albert Einstein,
1869,,The periodic table,Dmitri Mendeleev,
1912,,Plate tectonics,Alfred Wegener,
1927,,The Big Bang theory,Georges Lemaître,
1900-1930s,,Quantum mechanics,"Max Planck, Werner Heisenberg, Erwin Schrödinger, Paul Dirac",
2012,,Higgs Boson,Peter Higgs and François Englert,
"1783 and 1916, respectively",,Black holes,John Michell and Albert Einstein,
1992,,Exoplanets,Aleksander Wolszczan and Dale Frail,
1912,,Continental Drift,Alfred Wegener,
1897,,The Electron,J.J. Thomson,
1896-1898,,Radioactivity,"Marie Curie, Pierre Curie, and Henri Becquerel",
1932,,The Neutron,James Chadwick,
1917,,The Proton,Ernest Rutherford,
1965,,Cosmic Microwave Background Radiation,Arno Penzias and Robert Wilson,
2015,,Gravitational Waves,LIGO Scientific Collaboration,
1985,,Ozone Hole,"Joe Farman, Brian Gardiner, and Jonathan Shanklin",
"1824, 1861, and 1896, respectively",,Greenhouse Effect,"Joseph Fourier, John Tyndall, and Svante Arrhenius",
1933,,Dark Matter,Fritz Zwicky,
1998,,Dark Energy,"Saul Perlmutter, Brian P. Schmidt, and Adam G. Riess",
1963,,First Supermassive Black Hole,Maarten Schmidt,
2015,,First Black Hole Merger,LIGO Scientific Collaboration,
1937,,First Gravitational Lens,J. H. Oort and F. Zwicky,
