year,content
32-28 kya:,"32-28 kya: Rope and Cords for ""hafting stone tools, weaving baskets, or sewing garments,"" according to Elis Kvavadze et al.[60][61]
Links: Rope(Rope) | String (structure)(Cords) | Baskets(baskets) | ([60]) | ([61])"
31 kya:,"31 kya: Amputation and surgery.[62] Medicine in a meaningful sense likely predates the human-chimpanzee split, as, for example, herbal medicine has been observed in other primates.[63]
Links: Amputation(Amputation) | Surgery(surgery) | ([62]) | Medicine(Medicine) | ([63])"
28 kya:,"28 kya: Ceramics (direct evidence) and weaving (impressions left in the ceramics) in Moravia[64][65] (Czech Republic) and Georgia. (The oldest piece of woven cloth found so far was in Çatalhöyük, Turkey and dated to about 9,000 years ago.[66])
Links: Ceramics(Ceramics) | Weaving(weaving) | Moravia(Moravia) | ([64]) | ([65]) | Georgia (country)(Georgia) | ([66])"
24 kya:,"24 kya: Oldest known ceramic sculpture[67]
Links: Venus of Dolní Věstonice(Oldest known ceramic sculpture) | ([67])"
23 kya:,"23 kya: Domestication of the dog in Siberia.[68]
Links: Domestication of the dog(Domestication of the dog) | Siberia(Siberia) | ([68])"
22 – 17 kya,"22 – 17 kya Bullroarer[69][70][71]
Links: Bullroarer(Bullroarer) | ([69]) | ([70]) | ([71])"
22 kya:,"22 kya: Fish hook in Okinawa Island, modern day Japan.[72][73]
Links: Fish hook(Fish hook) | Okinawa Island(Okinawa Island) | ([72]) | ([73])"
21 – 3.7 kya:,"21 – 3.7 kya: Star chart in France,[74][75] and later Spain,[76] Kashmir,[77] Germany,[78][79] and Egypt.[80]
Links: Star chart(Star chart) | France(France) | ([74]) | ([75]) | Spain(Spain) | ([76]) | Kashmir(Kashmir) | ([77]) | ([78]) | ([79]) | ([80])"
17.5 kya:,"17.5 kya: Spear-thrower (atlatl), found in France.[81]
Links: Spear-thrower(Spear-thrower) | ([81])"
16 kya:,"16 kya: Pottery in China[82]
Links: Pottery(Pottery) | China(China) | ([82])"
14.5 kya:,"14.5 kya: Bread in Jordan[83][84]
Links: Bread(Bread) | ([83]) | ([84])"
12 kya:,"12 kya: Spindle whorl, also the oldest wheel-like tool, at Nahal Ein Gev II (Palestine)[85][86]
Links: Spindle whorl(Spindle whorl) | Wheel(wheel) | Nahal Ein Gev II(Nahal Ein Gev II) | ([85]) | ([86])"
"10,000 BC – 9000 BC:","10,000 BC – 9000 BC: Agriculture in the Fertile Crescent[88][89]
Links: Agriculture(Agriculture) | Fertile Crescent(Fertile Crescent) | ([88]) | ([89])"
"10,000 BC – 9000 BC:","10,000 BC – 9000 BC: Domestication of sheep in Southwest Asia[90][91] (followed shortly by pigs, goats and cattle)
Links: Domestication of the sheep(Domestication of sheep) | Southwest Asia(Southwest Asia) | ([90]) | ([91])"
9500 BC – 9000 BC:,"9500 BC – 9000 BC: Oldest known surviving building – Göbekli Tepe, in Turkey[92][93]
Links: List of oldest extant buildings(Oldest known surviving building) | Göbekli Tepe(Göbekli Tepe) | Turkey(Turkey) | ([92]) | ([93])"
9000 BC – 6000 BC:,"9000 BC – 6000 BC: Domestication of rice in China[94]
Links: Domestication of rice(Domestication of rice) | China(China) | ([94])"
9000 BC:,"9000 BC: Mudbricks (unfired bricks), and clay mortar in Jericho.[95][96][97]
Links: Mudbrick(Mudbricks) | Mortar (masonry)(mortar) | Jericho(Jericho) | ([95]) | ([96]) | ([97])"
8400 BC:,"8400 BC: Oldest known water well in Cyprus.[98]
Links: Well(well) | Cyprus(Cyprus) | ([98])"
8000 BC – 7500 BC:,"8000 BC – 7500 BC: Proto-city – large permanent settlements, such as Tell es-Sultan (Jericho) and Çatalhöyük, Turkey.[99]
Links: Proto-city(Proto-city) | Tell es-Sultan(Tell es-Sultan (Jericho)) | Çatalhöyük(Çatalhöyük) | ([99])"
7000 BC:,"7000 BC: Alcohol fermentation – specifically mead, in China[100]
Links: Ethanol fermentation(Alcohol fermentation) | Mead(mead) | ([100])"
7000 BC:,"7000 BC: Sled dog and Dog sled, in Siberia.[101]
Links: Sled dog(Sled dog) | Dog sled(Dog sled) | ([101])"
7000 BC – 3300 BC:,"7000 BC – 3300 BC: Tanned leather in Mehrgarh, Pakistan.[102]
Links: Tanning (leather)(Tanned leather) | Mehrgarh(Mehrgarh) | ([102])"
6500 BC:,"6500 BC: Evidence of lead smelting in Çatalhöyük, Turkey[103]
Links: Lead smelting(lead smelting) | Çatalhöyük(Çatalhöyük) | Turkey(Turkey) | ([103])"
6000 BC:,"6000 BC: Kiln in Mesopotamia (Iraq)[104]
Links: Kiln(Kiln) | Mesopotamia(Mesopotamia) | ([104])"
6th millennium BC:,"6th millennium BC: Irrigation in Khuzistan, Iran[105][106]
Links: Irrigation(Irrigation) | Khuzestan Province(Khuzistan) | Iran(Iran) | ([105]) | ([106])"
6000 BC – 3200 BC:,"6000 BC – 3200 BC: Proto-writing in present-day Egypt, Iraq, Romania, China, India and Pakistan.[107]
Links: Proto-writing(Proto-writing) | ([107])"
5900 – 5600 BC:,"5900 – 5600 BC: Oldest evidence of salt production found in Southeastern Europe, in the countries of Moldova and Romania.[108]
Links: Salt production(salt production) | Moldova(Moldova) | Romania(Romania) | ([108])"
5500 – 5200 BC:,"5500 – 5200 BC: Oldest evidence of cheese found, in Poland and on the Dalmatian coast of Croatia.[109][110]
Links: Cheese(cheese) | Poland(Poland) | Dalmatia(Dalmatian coast) | Croatia(Croatia) | ([109]) | ([110])"
5500 BC:,"5500 BC: Sailing - pottery depictions of sail boats, in Mesopotamia,[111] and later ancient Egypt[112][113]
Links: Sailing(Sailing) | Mesopotamia(Mesopotamia) | ([111]) | Ancient Egypt(ancient Egypt) | ([112]) | ([113])"
5000 BC:,"5000 BC: Copper smelting in Serbia.[114][115]
Links: Smelting(Copper smelting) | Serbia(Serbia) | ([114]) | ([115])"
5000 BC:,"5000 BC: Seawall in Tel Hreiz.[116]
Links: Seawall(Seawall) | Tel Hreiz (page does not exist)(Tel Hreiz) | ([116])"
5th millennium BC:,"5th millennium BC: Lacquer in China[117][118]
Links: Lacquer(Lacquer) | ([117]) | ([118])"
5000 BC:,"5000 BC: Cotton thread, in Mehrgarh, Pakistan, connecting the copper beads of a bracelet.[119][120][121]
Links: Cotton(Cotton) | Mehrgarh(Mehrgarh) | ([119]) | ([120]) | ([121])"
5000 BC – 4500 BC:,"5000 BC – 4500 BC: Rowing oars in China[122][123]
Links: Oar(Rowing oars) | ([122]) | ([123])"
4500 BC – 3500 BC:,"4500 BC – 3500 BC: Lost-wax casting in Palestine[124] or the Indus Valley[125]
Links: Lost-wax casting(Lost-wax casting) | Palestine(Palestine) | ([124]) | Indus Valley(Indus Valley) | ([125])"
4400 BC:,"4400 BC: Fired bricks in China.[126]
Links: Brick(Fired bricks) | ([126])"
4000 BC:,"4000 BC: Probable time period of the first diamond-mines in the world, in Southern India.[127]
Links: ([127])"
4000 BC:,"4000 BC: Paved roads, in and around the Mesopotamian city of Ur, Iraq.[128]
Links: Roads(roads) | Ur(Ur) | ([128])"
