year,country,doc_number
1867,ES,4251
1867,ES,4124
1867,ES,4245
1867,ES,4244
1867,ES,4227
1867,ES,4225
1867,ES,4121
1867,ES,4119
1867,ES,4117
1867,ES,4113
1867,ES,2414
1867,ES,2412
1867,ES,1543
1867,ES,906
1867,US,61698
1867,US,61697
1867,US,61696
1867,US,61695
1867,US,61694
1867,US,61693
1867,US,61692
1867,US,61691
1867,US,61690
1867,US,61689
1867,US,61688
1867,US,61687
1867,US,61686
1867,US,61685
1867,US,61684
1867,US,61683
1867,US,61682
1867,US,61681
1867,US,61680
1867,US,61679
1867,US,61678
1867,US,61677
1867,US,61676
1867,US,61675
1867,US,61674
1867,US,61673
1867,US,61672
1867,US,61671
1867,US,61670
1867,US,61669
1867,US,61668
1867,US,61667
1867,US,61666
1867,US,61665
1867,US,61664
1867,US,61663
1867,US,61662
1867,US,61661
1867,US,61660
1867,US,61659
1867,US,61658
1867,US,61656
1867,US,61655
1867,US,61654
1867,US,61653
1867,US,61652
1867,US,61651
1867,US,61650
1867,US,61649
1867,US,61648
1867,US,61647
1867,US,61646
1867,US,61645
1867,US,61644
1867,US,61643
1867,US,61642
1867,US,61641
1867,US,61640
1867,US,61639
1867,US,61638
1867,US,61637
1867,US,61636
1867,US,61635
1867,US,61634
1867,US,61633
1867,US,61632
1867,US,61631
1867,US,61630
1867,US,61629
1867,US,61628
1867,US,61627
1867,US,61626
1867,US,61625
1867,US,61624
1867,US,61623
1867,US,61622
1867,US,61621
1867,US,61620
1867,US,61619
1867,US,61618
1867,US,61617
1867,US,61616
1867,US,61615
1867,US,61614
1867,US,61613
1867,US,61612
1867,US,61611
1867,US,61610
1867,US,61609
1867,US,61608
1867,US,61607
1867,US,61606
1867,US,61605
1867,US,61604
1867,US,61603
1867,US,61602
1867,US,61601
1867,US,61600
1867,US,61599
1867,US,61598
1867,US,61597
1867,US,61596
1867,US,61595
1867,US,61594
1867,US,61593
1867,US,61592
1867,US,61591
1867,US,61590
1867,US,61589
1867,US,61588
1867,US,61587
1867,US,61586
1867,US,61585
1867,US,61584
1867,US,61583
1867,US,61582
1867,US,61581
1867,US,61580
1867,US,61579
1867,US,61578
1867,US,61577
1867,US,61576
1867,US,61575
1867,US,61574
1867,US,61573
1867,US,61572
1867,US,61571
1867,US,61570
1867,US,61569
1867,US,61568
1867,US,61567
1867,US,61566
1867,US,61565
1867,US,61564
1867,US,61563
1867,US,61562
1867,US,61561
1867,US,61560
1867,US,61559
1867,US,61558
1867,US,61557
1867,US,61556
1867,US,61555
1867,US,61554
1867,US,61553
1867,US,61552
1867,US,61551
1867,US,61550
1867,US,61549
