Invention/Discovery,Name of the Inventor,Year of Invention
Telephone,Alexander Graham Bell,1876
Radio,Guglielmo Marconi,1895
Television,Philo Farnsworth,1927
Refrigerator,Jacob Perkins,1834
Automobile,Karl Benz,1886
Airplane,The Wright brothers (Orville and Wilbur Wright),1903
Steam engine,James Watt,1765
Penicillin,Alexander Fleming,1928
Vaccines,Edward Jenner,1796
MRI,Raymond Damadian,1977
DNA,James Watson and Francis Crick,1953
Genetic engineering,Paul Berg,1972
Microscope,Zacharias Janssen and Hans Janssen,1590
Telescope,Hans Lippershey,1608
Mobile phones,Martin Cooper,1973
Printing press,Johannes Gutenberg,1440
Photography,Joseph Nicéphore Niépce,1826
Film,George Eastman,1888
Laser,Theodore H. Maiman,1960
Transistor,"William Shockley, John Bardeen and Walter Brattain",1947
GPS,"Roger L. Easton, Ivan A. Getting and Bradford Parkinson",1978
Atomic bomb,J. Robert Oppenheimer and team,1945
Nuclear power,Enrico Fermi and team,1942
Artificial heart,Robert Jarvik,1982
Artificial intelligence,"John McCarthy, Marvin Minsky, Allen Newell and Herbert A. Simon",1956
Virtual reality,Ivan Sutherland,1968
Quantum mechanics,"Max Planck, Albert Einstein, Werner Heisenberg, Erwin Schrödinger and others",Early 20th century
Superconductivity,Heike Kamerlingh Onnes,1911
Radar,Robert Watson,1935
Microwave oven,Percy Spencer,1945
Telephone,Alexander Graham Bell,1876
Radio,Guglielmo Marconi,1895
Television,Philo Farnsworth,1927
Refrigerator,Jacob Perkins,1834
Automobile,Karl Benz,1886
The structure of DNA,James Watson and Francis Crick,1953
Evolution by natural selection,Charles Darwin,1859
The laws of thermodynamics,"Sadi Carnot, James Prescott Joule, Rudolf Clausius",1824-1865
The theory of relativity,Albert Einstein,1905-1915
The periodic table,Dmitri Mendeleev,1869
Plate tectonics,Alfred Wegener,1912
The Big Bang theory,Georges Lemaître,1927
Quantum mechanics,"Max Planck, Werner Heisenberg, Erwin Schrödinger, Paul Dirac",1900-1930s
Higgs Boson,Peter Higgs and François Englert,2012
Black holes,John Michell and Albert Einstein,"1783 and 1916, respectively"
Exoplanets,Aleksander Wolszczan and Dale Frail,1992
Continental Drift,Alfred Wegener,1912
The Electron,J.J. Thomson,1897
Radioactivity,"Marie Curie, Pierre Curie, and Henri Becquerel",1896-1898
The Neutron,James Chadwick,1932
The Proton,Ernest Rutherford,1917
Cosmic Microwave Background Radiation,Arno Penzias and Robert Wilson,1965
Gravitational Waves,LIGO Scientific Collaboration,2015
Ozone Hole,"Joe Farman, Brian Gardiner, and Jonathan Shanklin",1985
Greenhouse Effect,"Joseph Fourier, John Tyndall, and Svante Arrhenius","1824, 1861, and 1896, respectively"
Dark Matter,Fritz Zwicky,1933
Dark Energy,"Saul Perlmutter, Brian P. Schmidt, and Adam G. Riess",1998
First Supermassive Black Hole,Maarten Schmidt,1963
First Black Hole Merger,LIGO Scientific Collaboration,2015
First Gravitational Lens,J. H. Oort and F. Zwicky,1937
