Year,Country,Name of Invention,Name of Inventor,Category,General_Category
1790,United Kingdom,hydrometer,William Nicholson,Measurement Instrument,Physical Sciences
1790,United States,highpressure steam engine US,Oliver Evans,Mechanical Engineering,Engineering & Technology
1790,United Kingdom; United States,Sewing Machine,Elias Howe; Thomas Saint,Textile Machinery,Engineering & Technology
1792,France,Guillotine,Dr JosephI Guillotin,Safety Technology,Engineering & Technology
1792,France,Semaphore Telegraph; semaphore telegraph,Claude Chappe,Communication Technology; Communications,Information & Computing
1793,United States,Cotton Gin; cotton gin,Eli Whitney,Agricultural Machinery; Textile Machinery,Agricultural Sciences & Technology; Engineering & Technology
1795,France,graphite pencil,NicolasJacques Cont,Materials Technology,Chemistry & Materials
1795,United Kingdom,Hydraulic Press; hydraulic press,Joseph Bramah,Mechanical Engineering,Engineering & Technology
1796,Germany,Lithography Printing Technique,Alois Senefelder,Printing Technology,Engineering & Technology
1796,United Kingdom,Vaccines,Edward Jenner,Immunology,Life Sciences & Medicine
1796,United Kingdom,The First Vaccination,Edward Jenner,Medicine,Life Sciences & Medicine
1796,United Kingdom,Smallpox Vaccination,Edward Jenner,Immunology,Life Sciences & Medicine
1797,United Kingdom,Plywood,Samuel Bentham,Materials Technology,Chemistry & Materials
1798,Germany,lithography,Alois Senefelder,Printing Technology,Engineering & Technology
1799,United Kingdom,Motorized Air Compressor,George Medhurst,Mechanical Engineering,Engineering & Technology
1799,France,Paper Machine,LouisNicolas Robert,Industrial Machinery,Engineering & Technology
1799,Italy,The Battery,Alessandro Volta,Electricity,Physical Sciences
1800,Italy,Battery electric,Alessandro Volta,Battery Technology,Chemistry & Materials
1800,United Kingdom,metal lathe,Henry Maudslay,Machine Tools,Engineering & Technology
1800,Italy,Electric Battery; electric battery,Alessandro Volta; Volta,Battery Technology,Chemistry & Materials
1800,Italy,Voltaic Pile,Alessandro Volta,Electricity,Physical Sciences
1801,France,Jacquard Loom; Jacquard loom,Joseph Marie Jacquard; JosephMarie Jacquard,Textile Machinery,Engineering & Technology
1802,United States,screwdriven steamboat,John Stevens,Marine Technology,Engineering & Technology
1802,United Kingdom,Arc Lamp,Humphry Davy,Electricity,Physical Sciences
1803,United Kingdom,steam railway locomotive,Richard Trevithick,Transportation Engineering,Engineering & Technology
1804,Germany,Morphine Discovery,Friedrich Sertürner,Pharmaceuticals,Life Sciences & Medicine
1804,Japan,Modern General Anesthetic Tsūsensan,Hanaoka Seishū,Medicine,Life Sciences & Medicine
1804,United Kingdom,Steam Locomotive,Richard Trevithick,Transportation,Engineering & Technology
1804,United Kingdom,Locomotive,George Stephenson,Transportation Engineering,Engineering & Technology
1804,United Kingdom,Dalton’s Atomic Theory,John Dalton,Chemistry,Chemistry & Materials
1805,United Kingdom,military rocket,William Congreve,Rocketry,Engineering & Technology
1807,United States,Steam Ship,Robert Fulton,Marine Technology,Engineering & Technology
1807,United States,commercial steamboat,Robert Fulton,Marine Technology,Engineering & Technology
1807,United Kingdom,percussionlock musket,Alexander John Forsyth,Firearms Technology,Engineering & Technology
1807,France,Early Internal Combustion Engine,Nicéphore Niépce,Mechanical Engineering,Engineering & Technology
1807,Switzerland,HydrogenPowered Automobile,François Isaac de Rivaz,Transportation,Engineering & Technology
1809,United Kingdom,lacemaking machine,John Heathcoat,Textile Machinery,Engineering & Technology
1810,France,Canning Process,Nicolas Appert,Food Technology,Agricultural Sciences & Technology
1810,France,First Wristwatch,AbrahamLouis Breguet,Horology,Other
1811,Germany,Powered Printing Press,Friedrich Koenig,Printing Technology,Engineering & Technology
1811,United Kingdom,geared steam locomotive,John Blenkinsop,Transportation Engineering,Engineering & Technology
1812,Ireland,Safety Lamp,William Reid Clanny,Safety Technology,Engineering & Technology
1814,United Kingdom,Modern Planing Machine,James Fox,Machine Tools,Engineering & Technology
1815,United Kingdom,Miners Safety Lamp,Sir Humphry Davy,Safety Technology,Engineering & Technology
1815,United Kingdom,macadam road surface,John Loudon McAdam,Civil Engineering,Engineering & Technology
1816,United Kingdom,Stirling externalcombustion engine,Robert Stirling,Mechanical Engineering,Engineering & Technology
1816,Germany,Bicycle,Karl von Drais,Transportation,Engineering & Technology
1816,United Kingdom; United States,Electric Telegraph; The Electric Telegraph; electric telegraph,Cooke  Wheatstone; Francis Ronalds; Samuel FB Morse; Samuel Morse,Communication Device; Communications,Information & Computing
1816,France,Stethoscope; stethoscope,RenThophileHyacinthe Lannec; René Laennec,Medical Equipment; Medicine,Life Sciences & Medicine
1816,United Kingdom,Stirling Engine,Robert Stirling,Mechanical Engineering,Engineering & Technology
1817,Germany,Dandy Horse,Baron Karl von Drais,Transportation,Engineering & Technology
1817,United Kingdom,Kaleidoscope,David Brewster,Optics,Physical Sciences
1818,France; United Kingdom,geared steam tunneling shield,Marc Isambard Brunel,Construction Engineering,Engineering & Technology
1818,France,Tunnelling Shield,Marc Isambard Brunel,Civil Engineering,Engineering & Technology
1820,Denmark,Discovery of Electromagnetism,Hans Christian Ørsted,Physics,Physical Sciences
1821,United Kingdom,rubber masticator,Thomas Hancock,Materials Technology,Chemistry & Materials
1822,United States,PatternTracing Lathe,Thomas Blanchard,Machine Tools,Engineering & Technology
1822,France,Heliography,Nicéphore Niépce,Photography,Arts & Media
1822,United Kingdom,Programmable Mechanical Computer,Charles Babbage,Computing,Information & Computing
1823,United Kingdom,mackintosh waterproof fabric,Charles Macintosh,Materials Technology,Chemistry & Materials
1823,Germany,Lighter,Johann Wolfgang Döbereiner,Domestic Technology,Engineering & Technology
1824,United Kingdom,Electromagnet,William Sturgeon,Electrical Engineering; Electricity,Engineering & Technology; Physical Sciences
1824,France,permanent photographic image,Nicphore Nipce,Photography,Arts & Media
1824,France,Braille writing system,Louis Braille,Assistive Technology,Engineering & Technology
1824,Germany,BoltAction Rifle,Johann Nikolaus von Dreyse,Firearms Technology,Engineering & Technology
