year,content
200 kya:,"200 kya: Simple glue (adhesive) made of one kind of material, birch tar, in Central Italy by Neanderthals.[24]
Links: Adhesive(adhesive) | ([24])"
200 kya:,"200 kya: Beds in South Africa.[25][26][27]
Links: Bed(Beds) | ([25]) | ([26]) | ([27])"
170 kya – 90 kya:,"170 kya – 90 kya: Clothing, among anatomically modern humans in Africa. Genetic evidence from body lice suggests a range of dates centering over 100 thousand years ago.[28] The first bone scrapers appropriate for scraping hides to make supple leather were found in Morocco dating to 90–120,000 years ago.[29][30]
Links: History of clothing and textiles(Clothing) | ([28]) | Bone tool(bone scrapers) | ([29]) | ([30])"
164 kya – 47 kya:,"164 kya – 47 kya: Heat treating of stone blades in South Africa.[31]
Links: ([31])"
135 kya – 100 kya:,"135 kya – 100 kya: Beads in Israel and Algeria[32]
Links: Bead(Beads) | Algeria(Algeria) | ([32])"
100 kya:,"100 kya: Compound paints made in South Africa[33][34][35]
Links: Paint(paints) | ([33]) | ([34]) | ([35])"
100 kya:,"100 kya: Funerals (in the form of burial) in Israel[36]
Links: Burial(burial) | ([36])"
90 kya:,"90 kya: Harpoons in the Democratic Republic of the Congo.[37]
Links: Harpoon(Harpoons) | Democratic Republic of the Congo(Democratic Republic of the Congo) | ([37])"
70 kya – 60 kya,"70 kya – 60 kya in Sibudu Cave in South Africa by Homo sapiens:
Compound adhesives[38][39]
Arrows and other evidence of bow-and-arrow technology[40][41][42]
Sewing needle[43][44]
Links: Sibudu Cave(Sibudu Cave) | Adhesive(Compound adhesives) | ([38]) | ([39]) | Arrow(Arrows) | ([40]) | ([41]) | ([42]) | Sewing needle(Sewing needle) | ([43]) | ([44])"
61 kya – 62 kya:,"61 kya – 62 kya: Cave painting in Spain by Neanderthal[45]
Links: Cave painting(Cave painting) | Spain(Spain) | Neanderthal(Neanderthal) | ([45])"
55.8–51.2 kya:,"55.8–51.2 kya: Representational and Narrative art in Indonesia by Homo sapiens[46]
Links: Representation (arts)(Representational) | Narrative art(Narrative art) | Indonesia(Indonesia) | ([46])"
49 kya – 30 kya:,"49 kya – 30 kya: Ground stone tools – fragments of an axe in Australia date to 49–45 ka, more appear in Japan closer to 30 ka, and elsewhere closer to the Neolithic.[47][48]
Links: Ground stone(Ground stone) | ([47]) | ([48])"
47 kya:,"47 kya: The oldest-known mines in the world are from Eswatini, and extracted hematite for the production of the red pigment ochre.[49][50]
Links: Ochre(ochre) | ([49]) | ([50])"
45 kya – 9 kya:,"45 kya – 9 kya: Earliest evidence of shoes, suggested by changes in foot bone morphology in China by Tianyuan man.[51] The earliest physical shoes found so far are bark sandals dated to 10 to 9 kya in Fort Rock Cave, United States.[52] The oldest known leather shoe dated to 5.5 kya was found in excellent condition in the Areni-1 cave located in the Vayots Dzor province of Armenia. [53]
Links: Shoe(shoes) | Tianyuan man(Tianyuan man) | ([51]) | Sandal(sandals) | Fort Rock Cave(Fort Rock Cave) | United States(United States) | ([52]) | Areni-1 cave(Areni-1 cave) | Vayots Dzor(Vayots Dzor) | Armenia(Armenia) | ([53])"
44 kya – 42 kya:,"44 kya – 42 kya: Tally sticks (see Lebombo bone) in Eswatini[54]
Links: Tally stick(Tally sticks) | Lebombo bone(Lebombo bone) | Eswatini(Eswatini) | ([54])"
42 kya:,"42 kya: Flute in Germany[55][56]
Links: Flute(Flute) | ([55]) | ([56])"
37 kya:,"37 kya: Mortar and pestle in Southwest Asia[57]
Links: Mortar and pestle(Mortar and pestle) | Southwest Asia(Southwest Asia) | ([57])"
32-28 kya:,"32-28 kya: Rope and Cords for ""hafting stone tools, weaving baskets, or sewing garments,"" according to Elis Kvavadze et al.[58][59]
Links: Rope(Rope) | String (structure)(Cords) | Baskets(baskets) | ([58]) | ([59])"
31 kya:,"31 kya: Amputation and surgery.[60] Medicine in a meaningful sense likely predates the human-chimpanzee split, as, for example, herbal medicine has been observed in other primates.[61]
Links: Amputation(Amputation) | Surgery(surgery) | ([60]) | Medicine(Medicine) | ([61])"
28 kya:,"28 kya: Ceramics (direct evidence) and weaving (impressions left in the ceramics) in Moravia[62][63] (Czech Republic) and Georgia. (The oldest piece of woven cloth found so far was in Çatalhöyük, Turkey and dated to about 9,000 years ago.[64])
Links: Ceramics(Ceramics) | Weaving(weaving) | Moravia(Moravia) | ([62]) | ([63]) | Georgia (country)(Georgia) | ([64])"
24 kya:,"24 kya: Oldest known ceramic sculpture[65]
Links: Venus of Dolní Věstonice(Oldest known ceramic sculpture) | ([65])"
23 kya:,"23 kya: Domestication of the dog in Siberia.[66]
Links: Domestication of the dog(Domestication of the dog) | Siberia(Siberia) | ([66])"
22 – 17 kya,"22 – 17 kya Bullroarer[67][68][69]
Links: Bullroarer(Bullroarer) | ([67]) | ([68]) | ([69])"
22 kya:,"22 kya: Fish hook in Okinawa Island, modern day Japan.[70][71]
Links: Fish hook(Fish hook) | Okinawa Island(Okinawa Island) | ([70]) | ([71])"
21 – 3.7 kya:,"21 – 3.7 kya: Star chart in France,[72][73] and later Spain,[74] Kashmir,[75] Germany,[76][77] and Egypt.[78]
Links: Star chart(Star chart) | France(France) | ([72]) | ([73]) | Spain(Spain) | ([74]) | Kashmir(Kashmir) | ([75]) | ([76]) | ([77]) | ([78])"
17.5 kya:,"17.5 kya: Spear-thrower (atlatl), found in France.[79]
Links: Spear-thrower(Spear-thrower) | ([79])"
16 kya:,"16 kya: Pottery in China[80]
Links: Pottery(Pottery) | China(China) | ([80])"
14.5 kya:,"14.5 kya: Bread in Jordan[81][82]
Links: Bread(Bread) | ([81]) | ([82])"
12 kya:,"12 kya: Spindle whorl, also the oldest wheel-like tool, at Nahal Ein Gev II (Israel)[83][84]
Links: Spindle whorl(Spindle whorl) | Wheel(wheel) | Nahal Ein Gev II(Nahal Ein Gev II) | ([83]) | ([84])"
"10,000 BC – 9000 BC:","10,000 BC – 9000 BC: Agriculture in the Fertile Crescent[86][87]
Links: Agriculture(Agriculture) | Fertile Crescent(Fertile Crescent) | ([86]) | ([87])"
"10,000 BC – 9000 BC:","10,000 BC – 9000 BC: Domestication of sheep in Southwest Asia[88][89] (followed shortly by pigs, goats and cattle)
Links: Domestication of the sheep(Domestication of sheep) | Southwest Asia(Southwest Asia) | ([88]) | ([89])"
9500 BC – 9000 BC:,"9500 BC – 9000 BC: Oldest known surviving building – Göbekli Tepe, in Turkey[90][91]
Links: List of oldest extant buildings(Oldest known surviving building) | Göbekli Tepe(Göbekli Tepe) | Turkey(Turkey) | ([90]) | ([91])"
9000 BC – 6000 BC:,"9000 BC – 6000 BC: Domestication of rice in China[92]
Links: Domestication of rice(Domestication of rice) | China(China) | ([92])"
9000 BC:,"9000 BC: Mudbricks (unfired bricks), and clay mortar in Jericho.[93][94][95]
Links: Mudbrick(Mudbricks) | Mortar (masonry)(mortar) | Jericho(Jericho) | ([93]) | ([94]) | ([95])"
8400 BC:,"8400 BC: Oldest known water well in Cyprus.[96]
Links: Well(well) | Cyprus(Cyprus) | ([96])"
8000 BC – 7500 BC:,"8000 BC – 7500 BC: Proto-city – large permanent settlements, such as Tell es-Sultan (Jericho) and Çatalhöyük, Turkey.[97]
Links: Proto-city(Proto-city) | Tell es-Sultan(Tell es-Sultan (Jericho)) | Çatalhöyük(Çatalhöyük) | ([97])"
7000 BC:,"7000 BC: Alcohol fermentation – specifically mead, in China[98]
Links: Ethanol fermentation(Alcohol fermentation) | Mead(mead) | ([98])"
7000 BC:,"7000 BC: Sled dog and Dog sled, in Siberia.[99]
Links: Sled dog(Sled dog) | Dog sled(Dog sled) | ([99])"
7000 BC – 3300 BC:,"7000 BC – 3300 BC: Tanned leather in Mehrgarh, Pakistan.[100]
Links: Tanning (leather)(Tanned leather) | Mehrgarh(Mehrgarh) | ([100])"
6500 BC:,"6500 BC: Evidence of lead smelting in Çatalhöyük, Turkey[101]
Links: Lead smelting(lead smelting) | Çatalhöyük(Çatalhöyük) | Turkey(Turkey) | ([101])"
6000 BC:,"6000 BC: Kiln in Mesopotamia (Iraq)[102]
Links: Kiln(Kiln) | Mesopotamia(Mesopotamia) | ([102])"
6th millennium BC:,"6th millennium BC: Irrigation in Khuzistan, Iran[103][104]
Links: Irrigation(Irrigation) | Khuzestan Province(Khuzistan) | Iran(Iran) | ([103]) | ([104])"
6000 BC – 3200 BC:,"6000 BC – 3200 BC: Proto-writing in present-day Egypt, Iraq, Romania, China, India and Pakistan.[105]
Links: Proto-writing(Proto-writing) | ([105])"
5900 – 5600 BC:,"5900 – 5600 BC: Oldest evidence of salt production found in Southeastern Europe, in the countries of Moldova and Romania.[106]
Links: Salt production(salt production) | Moldova(Moldova) | Romania(Romania) | ([106])"
5500 – 5200 BC:,"5500 – 5200 BC: Oldest evidence of cheese found, in Poland and on the Dalmatian coast of Croatia.[107][108]
Links: Cheese(cheese) | Poland(Poland) | Dalmatia(Dalmatian coast) | Croatia(Croatia) | ([107]) | ([108])"
5500 BC:,"5500 BC: Sailing - pottery depictions of sail boats, in Mesopotamia,[109] and later ancient Egypt[110][111]
Links: Sailing(Sailing) | Mesopotamia(Mesopotamia) | ([109]) | Ancient Egypt(ancient Egypt) | ([110]) | ([111])"
5000 BC:,"5000 BC: Copper smelting in Serbia.[112][113]
Links: Smelting(Copper smelting) | Serbia(Serbia) | ([112]) | ([113])"
5000 BC:,"5000 BC: Seawall in Tel Hreiz.[114]
Links: Seawall(Seawall) | Tel Hreiz (page does not exist)(Tel Hreiz) | ([114])"
5th millennium BC:,"5th millennium BC: Lacquer in China[115][116]
Links: Lacquer(Lacquer) | ([115]) | ([116])"
5000 BC:,"5000 BC: Cotton thread, in Mehrgarh, Pakistan, connecting the copper beads of a bracelet.[117][118][119]
Links: Cotton(Cotton) | Mehrgarh(Mehrgarh) | ([117]) | ([118]) | ([119])"
5000 BC – 4500 BC:,"5000 BC – 4500 BC: Rowing oars in China[120][121]
Links: Oar(Rowing oars) | ([120]) | ([121])"
4500 BC – 3500 BC:,"4500 BC – 3500 BC: Lost-wax casting in Israel[122] or the Indus Valley[123]
Links: Lost-wax casting(Lost-wax casting) | Israel(Israel) | ([122]) | Indus Valley(Indus Valley) | ([123])"
4400 BC:,"4400 BC: Fired bricks in China.[124]
Links: Brick(Fired bricks) | ([124])"
4000 BC:,"4000 BC: Probable time period of the first diamond-mines in the world, in Southern India.[125]
Links: ([125])"
4000 BC:,"4000 BC: Paved roads, in and around the Mesopotamian city of Ur, Iraq.[126]
Links: Roads(roads) | Ur(Ur) | ([126])"
4000 BC:,"4000 BC: Plumbing. The earliest pipes were made of clay, and are found at the Temple of Bel at Nippur in Babylonia.[127][b]
Links: Plumbing(Plumbing) | ([127]) | ([b])"
4000 BC:,"4000 BC: Oldest evidence of locks, the earliest example discovered in the ruins of Nineveh, the capital of ancient Assyria.[130]
Links: Lock and key(locks) | Nineveh(Nineveh) | Assyria(Assyria) | ([130])"
4000 BC – 3400 BC:,"4000 BC – 3400 BC: Oldest evidence of wheels, found in the countries of Ukraine, Poland, and Germany.[131][132]
Links: Wheel(wheels) | Ukraine(Ukraine) | Poland(Poland) | Germany(Germany) | ([131]) | ([132])"
3630 BC:,"3630 BC: Silk garments (sericulture) in China[133]
Links: Sericulture(sericulture) | ([133])"
3500 BC:,"3500 BC: Probable first domestication of the horse in the Eurasian Steppes.[134][135][136]
Links: Domestication of the horse(domestication of the horse) | ([134]) | ([135]) | ([136])"
3500 BC:,"3500 BC: Wine as general anaesthesia in Sumer.[137]
Links: General anaesthesia(general anaesthesia) | ([137])"
3500 BC:,"3500 BC: Seal (emblem) invented around in the Near East, at the contemporary sites of Uruk in southern Mesopotamia and slightly later at Susa in south-western Iran during the Proto-Elamite period, and they follow the development of stamp seals in the Halaf culture or slightly earlier.[138]
Links: Seal (emblem)(Seal (emblem)) | Near East(Near East) | Uruk(Uruk) | Mesopotamia(Mesopotamia) | Susa(Susa) | Iran(Iran) | Proto-Elamite (period)(Proto-Elamite period) | Stamp seal(stamp seals) | Halaf culture(Halaf culture) | ([138])"
3500 BC:,"3500 BC: Ploughing, on a site in Bubeneč, Czech Republic.[139] Evidence, c. 2800 BC, has also been found at Kalibangan, Indus Valley (modern-day India).[140]
Links: Ploughing(Ploughing) | Bubeneč(Bubeneč) | ([139]) | Kalibangan(Kalibangan) | ([140])"
